"RefDes","Value","Pattern","Quantity","Name"
"C5, C6","12pF","CAP_0603","2","CAP_0603"
"C7, C8","100nF","CAP_0603","2","CAP_0603"
"C9","10nF","CAP_0603","1","CAP_0603"
"C10, C11","4.7uF","CAP_0603","2","CAP_0603"
"D1","PWR","CHIP-LED0603","1","LEDCHIP-LED0603"
"D2","DEBUG","CHIP-LED0603","1","LEDCHIP-LED0603"
"D3","DEBUG2","CHIP-LED0603","1","LEDCHIP-LED0603"
"E1, E2, E3, E4","","S4B-ZR-SM4-TF","4","S4B-ZR-SM4-TF"
"J1, J2, J3","","JST-ZH-3","3","JST-ZH3"
"J4","","B4B-ZR-SM4-TF","1","B4B-ZR-SM4-TF"
"MOTOR1, MOTOR2, MOTOR3, MOTOR4","","S4B-XH-SM4-TB","4","S4B-XH-SM4-TB"
"MOTOR_DATA","","HDR-2x4T/2.54x2.54/10x5","1","90131-0124"
"MOTOR_PWR1, MOTOR_PWR2, MOTOR_PWR3","","HDR-1x4T/2.54/10x2","3","644456-4"
"MOTOR_REF","","HDR-2x2T/2.54x2.54/5x5","1","90131-0122"
"R1, R4, R14, R24, R34","10k","RES_0603","5","RES_0603"
"R2, R3, R10","1k","RES_0603","3","RES_0603"
"R7, R8, R17, R18, R27, R28, R37, R38","4k7","RES_0603","8","RES_0603"
"Res1, Res2, Res3, Res4","1K","CAY10-102J4LF","4","ResArray"
"S1","RESET","KMR221G LFS","1","MC32882"
"U1, U2, U3, U4","","MultiPowerSO-30","4","VNH3SP30-E"
"U5","","UQFN48/7x7","1","STM32F103CBU6"
"U6","SWD","B6B-ZR-SM4-TF","1","B6B-ZR-SM4-TF"
"Y1","","CFPX-5","1","CFPX-5"
