"RefDes","Value","Pattern","Quantity","Name"
"BAT_BAL","","S4B-XH-SM4-TB","1","S4B-XH-SM4-TB"
"BAT_PWR","","XT60","1","XT60"
"CHARGER_BAL","","HDR-2x3T/2.54x2.54/8x5","1","90131-0123"
"CHARGER_DATA, MOTOR_DATA1","","HDR-2x4T/2.54x2.54/10x5","2","90131-0124"
"CHARGER_PWR1, CHARGER_PWR2, CHARGER_PWR3, MOTOR_PWR1, MOTOR_PWR2, MOTOR_PWR3","","HDR-1x4T/2.54/10x2","6","644456-4"
"CHARGER_TS","","HDR-1x3T/2.54/7x2","1","644456-3"
"MOTOR_REF","","HDR-2x2T/2.54x2.54/5x5","1","90131-0122"
"ODROID","","HDR-2x4T/2x2/8x4","1","87758-08"
"ODROIDPWR","","ODROID_CONN","1","644456-2"
"Q1","","SOT23","1","FMMT618TA"
"Q2, Q3, Q9, Q10, Q11","","SOT23","5","BSS138"
"R1, R2, R3, R8","22R","RES_0603","4","RES_0603"
"Res1, Res2, Res3","10K","CAY10-102J4LF","3","ResArray"
"SCL-UP, SDA-UP","4.7k","RES_0603","2","RES_0603"
"SERVO1, SERVO2","","S3B-ZR-SM4-TF","2","S3B-ZR-SM4-TF"
"TS","","S4B-ZR-SM4-TF","1","Copy_of_S4B-ZR-SM4-TF"
"U1, U2, U3, U4, U5, U6, U7, U8, U9, U10, U11, U12","","LED3MM","12","LED3MM"
